-------------------------------------------------------------------------------------------,,,,,,,,,
 Atmospheric CO2 concentrations (ppm) derived from in situ air measurements                ,,,,,,,,,
" at Mauna Loa, Observatory, Hawaii: Latitude 19.5°N Longitude 155.6°W Elevation 3397m      ",,,,,,,,,
                                                                                           ,,,,,,,,,
" Source: R. F. Keeling, S. J. Walker, S. C. Piper and A. F. Bollenbacher                   ",,,,,,,,,
 Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                        ,,,,,,,,,
 Scripps Institution of Oceanography (SIO)                                                 ,,,,,,,,,
 University of California                                                                  ,,,,,,,,,
" La Jolla, California USA 92093-0244                                                       ",,,,,,,,,
                                                                                           ,,,,,,,,,
 Status of data and correspondence:                                                        ,,,,,,,,,
                                                                                           ,,,,,,,,,
 These data are subject to revision based on recalibration of standard gases. Questions    ,,,,,,,,,
" about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu), Stephen Walker",,,,,,,,,
" (sjwalker@ucsd.edu) and Stephen Piper (scpiper@ucsd.edu), Scripps CO2 Program.            ",,,,,,,,,
                                                                                           ,,,,,,,,,
 Baseline data in this file through 06-Sep-2021 from archive dated 07-Sep-2021 11:07:27    ,,,,,,,,,
                                                                                           ,,,,,,,,,
-------------------------------------------------------------------------------------------,,,,,,,,,
                                                                                           ,,,,,,,,,
 Please cite as:                                                                           ,,,,,,,,,
                                                                                           ,,,,,,,,,
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       ",,,,,,,,,
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   ",,,,,,,,,
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    ",,,,,,,,,
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   ",,,,,,,,,
                                                                                           ,,,,,,,,,
" If it is necessary to cite a peer-reviewed article, please cite as:                       ",,,,,,,,,
                                                                                           ,,,,,,,,,
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       ",,,,,,,,,
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       ",,,,,,,,,
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       ",,,,,,,,,
 in A History of Atmospheric CO2 and its effects on Plants, Animals," and Ecosystems""","     """,,,,,,
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 ",,,,,,,,,
" New York, 2005.                                                                           ",,,,,,,,,
                                                                                           ,,,,,,,,,
-------------------------------------------------------------------------------------------,,,,,,,,,
                                                                                           ,,,,,,,,,
 The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant ,,,,,,,,,
 formats. Column 5 below gives monthly Mauna Loa CO2 concentrations in micro-mol CO2 per   ,,,,,,,,,
" mole (ppm), reported on the 2012 SIO manometric mole fraction scale.  This is the        ",,,,,,,,,
 standard version of the data most often sought.  The monthly values have been adjusted    ,,,,,,,,,
 to 24:00 hours on the 15th of each month.  Column 6 gives the same data after a seasonal  ,,,,,,,,,
 adjustment to remove the quasi-regular seasonal cycle.  The adjustment involves           ,,,,,,,,,
 subtracting from the data a 4-harmonic fit with a linear gain factor.  Column 7 is a      ,,,,,,,,,
 smoothed version of the data generated from a stiff cubic spline function plus 4-harmonic ,,,,,,,,,
 functions with linear gain.  Column 8 is the same smoothed version with the seasonal      ,,,,,,,,,
 cycle removed.  Column 9 is identical to Column 5 except that the missing values from     ,,,,,,,,,
 Column 5 have been filled with values from Column 7.  Column 10 is identical to Column 6  ,,,,,,,,,
 except missing values have been filled with values from Column 8.  Missing values are     ,,,,,,,,,
 denoted by -99.99                                                                         ,,,,,,,,,
                                                                                           ,,,,,,,,,
 CO2 concentrations are measured on the '12' calibration scale                             ,,,,,,,,,
                                                                                           ,,,,,,,,,
  Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
    ,   ,        ,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
    ,   ,   Excel,          ,   [ppm],    [ppm] ,      [ppm],    [ppm],       [ppm],    [ppm]
1958,1,21200,19.580.411,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1958,2,21231,19.581.260,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1958,3,21259,19.582.027,315.71,314.44,316.2,314.91,315.71,314.44
1958,4,21290,19.582.877,317.45,315.16,317.3,314.99,317.45,315.16
1958,5,21320,19.583.699,317.51,314.71,317.87,315.07,317.51,314.71
1958,6,21351,19.584.548,-99.99,-99.99,317.25,315.15,317.25,315.15
1958,7,21381,19.585.370,315.86,315.2,315.86,315.22,315.86,315.2
1958,8,21412,19.586.219,314.93,316.2,313.99,315.29,314.93,316.2
1958,9,21443,19.587.068,313.21,316.09,312.46,315.35,313.21,316.09
1958,10,21473,19.587.890,-99.99,-99.99,312.44,315.41,312.44,315.41
1958,11,21504,19.588.740,313.33,315.2,313.62,315.46,313.33,315.2
1958,12,21534,19.589.562,314.67,315.43,314.77,315.52,314.67,315.43
1959,1,21565,19.590.411,315.58,315.54,315.63,315.57,315.58,315.54
1959,2,21596,19.591.260,316.49,315.85,316.28,315.64,316.49,315.85
1959,3,21624,19.592.027,316.65,315.37,316.99,315.7,316.65,315.37
1959,4,21655,19.592.877,317.72,315.42,318.09,315.77,317.72,315.42
1959,5,21685,19.593.699,318.29,315.49,318.66,315.85,318.29,315.49
1959,6,21716,19.594.548,318.15,316.02,318.05,315.94,318.15,316.02
1959,7,21746,19.595.370,316.54,315.87,316.67,316.03,316.54,315.87
1959,8,21777,19.596.219,314.8,316.07,314.82,316.13,314.8,316.07
1959,9,21808,19.597.068,313.84,316.73,313.32,316.22,313.84,316.73
1959,10,21838,19.597.890,313.33,316.33,313.33,316.31,313.33,316.33
1959,11,21869,19.598.740,314.81,316.69,314.54,316.4,314.81,316.69
1959,12,21899,19.599.562,315.58,316.35,315.73,316.48,315.58,316.35
1960,1,21930,19.600.410,316.43,316.39,316.61,316.56,316.43,316.39
1960,2,21961,19.601.257,316.98,316.35,317.28,316.64,316.98,316.35
1960,3,21990,19.602.049,317.58,316.27,318.04,316.72,317.58,316.27
1960,4,22021,19.602.896,319.03,316.7,319.14,316.8,319.03,316.7
1960,5,22051,19.603.716,320.03,317.22,319.68,316.87,320.03,317.22
1960,6,22082,19.604.563,319.59,317.47,319.02,316.93,319.59,317.47
1960,7,22112,19.605.383,318.18,317.53,317.6,316.98,318.18,317.53
1960,8,22143,19.606.230,315.9,317.2,315.68,317.02,315.9,317.2
1960,9,22174,19.607.077,314.17,317.08,314.13,317.05,314.17,317.08
1960,10,22204,19.607.896,313.83,316.83,314.09,317.08,313.83,316.83
1960,11,22235,19.608.743,315,316.88,315.26,317.11,315,316.88
1960,12,22265,19.609.563,316.19,316.96,316.4,317.15,316.19,316.96
1961,1,22296,19.610.411,316.89,316.85,317.26,317.2,316.89,316.85
1961,2,22327,19.611.260,317.7,317.07,317.92,317.27,317.7,317.07
1961,3,22355,19.612.027,318.54,317.25,318.64,317.34,318.54,317.25
1961,4,22386,19.612.877,319.48,317.16,319.75,317.42,319.48,317.16
1961,5,22416,19.613.699,320.58,317.75,320.33,317.5,320.58,317.75
